2023-03-12 09:43:59.392948 [INFO   ] [APP] application started
2023-03-12 09:44:04.929436 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147600; ask volumes: 10000; bid prices: 146900; bid volumes: 10
2023-03-12 09:44:04.935075 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 147100; ask volumes: 10; bid prices: 0; bid volumes: 0
2023-03-12 09:44:04.984490 [INFO   ] [AUTO] order 7 filled for 1 lots at $147100 cents
2023-03-12 09:44:04.984641 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 147100; bid volumes: 1
2023-03-12 09:44:04.984789 [INFO   ] [AUTO] hedge order 8 filled for 1 lots at $147100 average price in cents
2023-03-12 09:44:05.221654 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147200; ask volumes: 9400; bid prices: 147000; bid volumes: 5000
2023-03-12 09:44:05.221736 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147200; ask volumes: 10; bid prices: 147100; bid volumes: 9
2023-03-12 09:44:05.418183 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 20; bid prices: 147000; bid volumes: 4900
2023-03-12 09:44:05.418265 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147200; ask volumes: 10; bid prices: 147000; bid volumes: 10
2023-03-12 09:44:05.672316 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 20; bid prices: 147000; bid volumes: 3900
2023-03-12 09:44:05.672362 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147100; ask volumes: 10; bid prices: 147000; bid volumes: 10
2023-03-12 09:44:05.951413 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 9420; bid prices: 147000; bid volumes: 900
2023-03-12 09:44:05.951489 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147100; ask volumes: 10; bid prices: 147000; bid volumes: 10
2023-03-12 09:44:06.002614 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 0; ask volumes: 0; bid prices: 147000; bid volumes: 900
2023-03-12 09:44:06.083624 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 0; ask volumes: 0; bid prices: 146900; bid volumes: 500
2023-03-12 09:44:06.171547 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 13400; bid prices: 146900; bid volumes: 4000
2023-03-12 09:44:06.171647 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147100; ask volumes: 10; bid prices: 147000; bid volumes: 10
2023-03-12 09:44:06.429725 [INFO   ] [AUTO] order 11 filled for 10 lots at $146900 cents
2023-03-12 09:44:06.430307 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 146900; bid volumes: 10
2023-03-12 09:44:06.430434 [INFO   ] [AUTO] hedge order 12 filled for 10 lots at $146800 average price in cents
2023-03-12 09:44:06.433351 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 11400; bid prices: 146800; bid volumes: 2000
2023-03-12 09:44:06.433409 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147100; ask volumes: 10; bid prices: 146400; bid volumes: 9939
2023-03-12 09:44:06.730279 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 11400; bid prices: 146700; bid volumes: 1000
2023-03-12 09:44:06.730360 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147000; ask volumes: 10; bid prices: 146800; bid volumes: 10
2023-03-12 09:44:06.982414 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 11400; bid prices: 146700; bid volumes: 1000
2023-03-12 09:44:06.982457 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147000; ask volumes: 10; bid prices: 146700; bid volumes: 10
2023-03-12 09:44:07.211967 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 1000; bid prices: 146900; bid volumes: 5000
2023-03-12 09:44:07.212037 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147000; ask volumes: 10; bid prices: 146700; bid volumes: 10
2023-03-12 09:44:07.338500 [INFO   ] [AUTO] order 13 filled for 10 lots at $147000 cents
2023-03-12 09:44:07.338596 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 147000; ask volumes: 10; bid prices: 0; bid volumes: 0
2023-03-12 09:44:07.338820 [INFO   ] [AUTO] hedge order 17 filled for 10 lots at $147000 average price in cents
2023-03-12 09:44:07.428061 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 9000; bid prices: 146800; bid volumes: 13000
2023-03-12 09:44:07.428148 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147500; ask volumes: 9917; bid prices: 146900; bid volumes: 10
2023-03-12 09:44:07.593384 [INFO   ] [AUTO] order 19 filled for 10 lots at $146800 cents
2023-03-12 09:44:07.593772 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 146800; bid volumes: 10
2023-03-12 09:44:07.593910 [INFO   ] [AUTO] hedge order 20 filled for 10 lots at $146800 average price in cents
2023-03-12 09:44:07.691432 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 1000; bid prices: 146800; bid volumes: 13000
2023-03-12 09:44:07.691498 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147000; ask volumes: 10; bid prices: 146300; bid volumes: 9993
2023-03-12 09:44:07.906159 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 13400; bid prices: 146800; bid volumes: 2000
2023-03-12 09:44:07.906194 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147000; ask volumes: 10; bid prices: 146800; bid volumes: 10
2023-03-12 09:44:08.194925 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 13400; bid prices: 146800; bid volumes: 5000
2023-03-12 09:44:08.195062 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147000; ask volumes: 10; bid prices: 146800; bid volumes: 10
2023-03-12 09:44:08.425431 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 13400; bid prices: 146800; bid volumes: 5000
2023-03-12 09:44:08.425481 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147000; ask volumes: 10; bid prices: 146800; bid volumes: 10
2023-03-12 09:44:08.444632 [INFO   ] [AUTO] order 21 filled for 10 lots at $146800 cents
2023-03-12 09:44:08.445085 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 146800; bid volumes: 10
2023-03-12 09:44:08.445237 [INFO   ] [AUTO] hedge order 22 filled for 10 lots at $146800 average price in cents
2023-03-12 09:44:08.712965 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 146900; ask volumes: 12400; bid prices: 146700; bid volumes: 4000
2023-03-12 09:44:08.713032 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147000; ask volumes: 10; bid prices: 146100; bid volumes: 10000
2023-03-12 09:44:08.979730 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 146800; ask volumes: 8000; bid prices: 146700; bid volumes: 2000
2023-03-12 09:44:08.979846 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 146800; ask volumes: 10; bid prices: 146600; bid volumes: 10
2023-03-12 09:44:09.155107 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 146800; ask volumes: 1000; bid prices: 0; bid volumes: 0
2023-03-12 09:44:09.214277 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 9400; bid prices: 146800; bid volumes: 13000
2023-03-12 09:44:09.214344 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 146700; ask volumes: 10; bid prices: 146600; bid volumes: 10
2023-03-12 09:44:09.453021 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147200; ask volumes: 9400; bid prices: 147000; bid volumes: 3000
2023-03-12 09:44:09.453110 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 146900; ask volumes: 10; bid prices: 146700; bid volumes: 10
2023-03-12 09:44:09.697050 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 11400; bid prices: 146800; bid volumes: 3000
2023-03-12 09:44:09.697124 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147100; ask volumes: 10; bid prices: 147000; bid volumes: 84
2023-03-12 09:44:09.697655 [INFO   ] [AUTO] order 30 filled for 10 lots at $147000 cents
2023-03-12 09:44:09.697826 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 147000; bid volumes: 10
2023-03-12 09:44:09.697983 [INFO   ] [AUTO] hedge order 32 filled for 10 lots at $147000 average price in cents
2023-03-12 09:44:09.916894 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 9400; bid prices: 146800; bid volumes: 6000
2023-03-12 09:44:09.916968 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147200; ask volumes: 20; bid prices: 147000; bid volumes: 74
2023-03-12 09:44:09.917908 [INFO   ] [AUTO] order 33 filled for 10 lots at $147000 cents
2023-03-12 09:44:09.918147 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 147000; bid volumes: 10
2023-03-12 09:44:09.918287 [INFO   ] [AUTO] hedge order 35 filled for 10 lots at $147000 average price in cents
2023-03-12 09:44:10.060055 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 0; ask volumes: 0; bid prices: 146800; bid volumes: 10
2023-03-12 09:44:10.203099 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 146700; ask volumes: 3010; bid prices: 146500; bid volumes: 13000
2023-03-12 09:44:10.203171 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147200; ask volumes: 20; bid prices: 147000; bid volumes: 78
2023-03-12 09:44:10.204730 [INFO   ] [AUTO] order 36 filled for 10 lots at $147000 cents
2023-03-12 09:44:10.204898 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 147000; bid volumes: 10
2023-03-12 09:44:10.205024 [INFO   ] [AUTO] hedge order 38 filled for 10 lots at $146700 average price in cents
2023-03-12 09:44:10.400009 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 146700; ask volumes: 1010; bid prices: 146600; bid volumes: 4000
2023-03-12 09:44:10.400102 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147200; ask volumes: 20; bid prices: 147000; bid volumes: 68
2023-03-12 09:44:10.401063 [INFO   ] [AUTO] order 39 filled for 10 lots at $147000 cents
2023-03-12 09:44:10.401245 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 147000; bid volumes: 10
2023-03-12 09:44:10.401381 [INFO   ] [AUTO] hedge order 41 filled for 10 lots at $146700 average price in cents
2023-03-12 09:44:10.539691 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 147200; ask volumes: 44; bid prices: 0; bid volumes: 0
2023-03-12 09:44:10.582447 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 146700; ask volumes: 1010; bid prices: 0; bid volumes: 0
2023-03-12 09:44:10.725944 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 146900; ask volumes: 2150; bid prices: 146700; bid volumes: 6750
2023-03-12 09:44:10.726031 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147200; ask volumes: 9976; bid prices: 147000; bid volumes: 58
2023-03-12 09:44:10.900089 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 146900; ask volumes: 750; bid prices: 0; bid volumes: 0
2023-03-12 09:44:10.948803 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 9000; bid prices: 146900; bid volumes: 4000
2023-03-12 09:44:10.948873 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147100; ask volumes: 10; bid prices: 147000; bid volumes: 58
2023-03-12 09:44:11.168838 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 1000; bid prices: 146800; bid volumes: 16760
2023-03-12 09:44:11.168955 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147300; ask volumes: 55; bid prices: 147100; bid volumes: 10
2023-03-12 09:44:11.437209 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 16410; bid prices: 146800; bid volumes: 14760
2023-03-12 09:44:11.437288 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147200; ask volumes: 10; bid prices: 147000; bid volumes: 68
2023-03-12 09:44:11.686002 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 10000; bid prices: 146800; bid volumes: 3000
2023-03-12 09:44:11.686150 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147300; ask volumes: 55; bid prices: 147000; bid volumes: 68
2023-03-12 09:44:11.942914 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 10000; bid prices: 146800; bid volumes: 3020
2023-03-12 09:44:11.942945 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147200; ask volumes: 10; bid prices: 147000; bid volumes: 68
2023-03-12 09:44:12.091520 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 147000; bid volumes: 39
2023-03-12 09:44:12.224598 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 12400; bid prices: 146800; bid volumes: 2000
2023-03-12 09:44:12.224639 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147200; ask volumes: 10; bid prices: 147000; bid volumes: 29
2023-03-12 09:44:12.424031 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 13400; bid prices: 146800; bid volumes: 2000
2023-03-12 09:44:12.424097 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147200; ask volumes: 10; bid prices: 147000; bid volumes: 29
2023-03-12 09:44:12.656941 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 146900; ask volumes: 1000; bid prices: 146700; bid volumes: 5020
2023-03-12 09:44:12.657069 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147200; ask volumes: 10; bid prices: 147000; bid volumes: 29
2023-03-12 09:44:12.830629 [INFO   ] [AUTO] order 51 filled for 10 lots at $146900 cents
2023-03-12 09:44:12.831323 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 147000; bid volumes: 19
2023-03-12 09:44:12.831470 [INFO   ] [AUTO] hedge order 52 filled for 10 lots at $146700 average price in cents
2023-03-12 09:44:12.985529 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 146900; ask volumes: 12400; bid prices: 146700; bid volumes: 2020
2023-03-12 09:44:12.985610 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 146400; ask volumes: 100; bid prices: 146200; bid volumes: 10000
2023-03-12 09:44:12.986157 [INFO   ] [AUTO] order 54 filled for 10 lots at $146400 cents
2023-03-12 09:44:12.986281 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 146400; ask volumes: 10; bid prices: 0; bid volumes: 0
2023-03-12 09:44:12.986398 [INFO   ] [AUTO] hedge order 55 filled for 10 lots at $146700 average price in cents
2023-03-12 09:44:13.177199 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 146900; ask volumes: 12400; bid prices: 146700; bid volumes: 2020
2023-03-12 09:44:13.177286 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 146400; ask volumes: 90; bid prices: 146200; bid volumes: 10000
2023-03-12 09:44:13.184059 [INFO   ] [AUTO] order 57 filled for 10 lots at $146400 cents
2023-03-12 09:44:13.184125 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 146400; ask volumes: 10; bid prices: 0; bid volumes: 0
2023-03-12 09:44:13.184327 [INFO   ] [AUTO] hedge order 58 filled for 10 lots at $146700 average price in cents
2023-03-12 09:44:13.404784 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 146800; ask volumes: 8400; bid prices: 146600; bid volumes: 13810
2023-03-12 09:44:13.404859 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 146400; ask volumes: 80; bid prices: 146200; bid volumes: 10000
2023-03-12 09:44:13.414333 [INFO   ] [AUTO] order 60 filled for 10 lots at $146400 cents
2023-03-12 09:44:13.414421 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 146400; ask volumes: 10; bid prices: 0; bid volumes: 0
2023-03-12 09:44:13.414564 [INFO   ] [AUTO] hedge order 61 filled for 10 lots at $146600 average price in cents
2023-03-12 09:44:13.685139 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 146700; ask volumes: 1000; bid prices: 146500; bid volumes: 20790
2023-03-12 09:44:13.685217 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 146400; ask volumes: 70; bid prices: 146100; bid volumes: 10000
2023-03-12 09:44:13.685707 [INFO   ] [AUTO] order 63 filled for 10 lots at $146400 cents
2023-03-12 09:44:13.685773 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 146400; ask volumes: 10; bid prices: 0; bid volumes: 0
2023-03-12 09:44:13.685895 [INFO   ] [AUTO] hedge order 64 filled for 10 lots at $146500 average price in cents
2023-03-12 09:44:13.939562 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 146800; ask volumes: 3010; bid prices: 146600; bid volumes: 13810
2023-03-12 09:44:13.939632 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 146400; ask volumes: 60; bid prices: 146000; bid volumes: 10000
2023-03-12 09:44:13.941578 [INFO   ] [AUTO] order 65 filled for 10 lots at $146400 cents
2023-03-12 09:44:13.941634 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 146400; ask volumes: 10; bid prices: 0; bid volumes: 0
2023-03-12 09:44:13.943061 [INFO   ] [AUTO] hedge order 66 filled for 10 lots at $146600 average price in cents
2023-03-12 09:44:14.233504 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 146900; ask volumes: 2000; bid prices: 146700; bid volumes: 13810
2023-03-12 09:44:14.233565 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 146400; ask volumes: 50; bid prices: 146200; bid volumes: 10000
2023-03-12 09:44:14.238095 [INFO   ] [AUTO] order 67 filled for 10 lots at $146400 cents
2023-03-12 09:44:14.238158 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 146400; ask volumes: 10; bid prices: 0; bid volumes: 0
2023-03-12 09:44:14.238307 [INFO   ] [AUTO] hedge order 68 filled for 10 lots at $146800 average price in cents
2023-03-12 09:44:14.423333 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 146900; ask volumes: 1000; bid prices: 146800; bid volumes: 10020
2023-03-12 09:44:14.423422 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 146400; ask volumes: 40; bid prices: 146200; bid volumes: 10000
2023-03-12 09:44:14.427996 [INFO   ] [AUTO] order 70 filled for 10 lots at $146400 cents
2023-03-12 09:44:14.428081 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 146900; ask volumes: 1000; bid prices: 0; bid volumes: 0
2023-03-12 09:44:14.428109 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 146400; ask volumes: 10; bid prices: 0; bid volumes: 0
2023-03-12 09:44:14.428244 [INFO   ] [AUTO] hedge order 71 filled for 10 lots at $146900 average price in cents
2023-03-12 09:44:14.548311 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 146200; bid volumes: 12
2023-03-12 09:44:14.590466 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 147000; ask volumes: 710; bid prices: 0; bid volumes: 0
2023-03-12 09:44:14.647848 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147200; ask volumes: 2030; bid prices: 147000; bid volumes: 3020
2023-03-12 09:44:14.647891 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 146400; ask volumes: 30; bid prices: 146200; bid volumes: 9988
2023-03-12 09:44:14.648292 [INFO   ] [AUTO] order 69 filled for 10 lots at $146500 cents
2023-03-12 09:44:14.649256 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 146400; ask volumes: 30; bid prices: 0; bid volumes: 0
2023-03-12 09:44:14.649336 [INFO   ] [AUTO] hedge order 74 filled for 10 lots at $147200 average price in cents
2023-03-12 09:44:14.733769 [INFO   ] [AUTO] order 72 filled for 10 lots at $146700 cents
2023-03-12 09:44:14.733993 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 146700; ask volumes: 10; bid prices: 0; bid volumes: 0
2023-03-12 09:44:14.734607 [INFO   ] [AUTO] hedge order 75 filled for 10 lots at $147200 average price in cents
2023-03-12 09:44:14.920657 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147200; ask volumes: 3030; bid prices: 147000; bid volumes: 13020
2023-03-12 09:44:14.920796 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147300; ask volumes: 22; bid prices: 146500; bid volumes: 9970
2023-03-12 09:44:15.180287 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147200; ask volumes: 2430; bid prices: 147000; bid volumes: 7780
2023-03-12 09:44:15.180340 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 146900; ask volumes: 10; bid prices: 146700; bid volumes: 10
2023-03-12 09:44:15.446439 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147200; ask volumes: 1030; bid prices: 147100; bid volumes: 4020
2023-03-12 09:44:15.446497 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 146900; ask volumes: 10; bid prices: 146700; bid volumes: 10
2023-03-12 09:44:15.546837 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 147200; ask volumes: 1030; bid prices: 0; bid volumes: 0
2023-03-12 09:44:15.689542 [INFO   ] [AUTO] order 76 filled for 10 lots at $146900 cents
2023-03-12 09:44:15.692313 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 146900; ask volumes: 10; bid prices: 0; bid volumes: 0
2023-03-12 09:44:15.692601 [INFO   ] [AUTO] hedge order 79 filled for 10 lots at $147100 average price in cents
2023-03-12 09:44:15.706782 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 3000; bid prices: 146900; bid volumes: 13800
2023-03-12 09:44:15.706862 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147400; ask volumes: 38; bid prices: 146800; bid volumes: 10
2023-03-12 09:44:15.996421 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 2400; bid prices: 146900; bid volumes: 15760
2023-03-12 09:44:15.996456 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 146900; ask volumes: 10; bid prices: 146700; bid volumes: 10
2023-03-12 09:44:16.243539 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 14400; bid prices: 146900; bid volumes: 12020
2023-03-12 09:44:16.243626 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 146900; ask volumes: 10; bid prices: 146700; bid volumes: 10
2023-03-12 09:44:16.410182 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 14400; bid prices: 146900; bid volumes: 13790
2023-03-12 09:44:16.410216 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 146900; ask volumes: 10; bid prices: 146700; bid volumes: 10
2023-03-12 09:44:16.714584 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 14400; bid prices: 146900; bid volumes: 2020
2023-03-12 09:44:16.714629 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 146900; ask volumes: 10; bid prices: 146700; bid volumes: 10
2023-03-12 09:44:16.929876 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 3000; bid prices: 146900; bid volumes: 14790
2023-03-12 09:44:16.929910 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 146900; ask volumes: 10; bid prices: 146700; bid volumes: 10
2023-03-12 09:44:17.086701 [INFO   ] [AUTO] order 81 filled for 10 lots at $146700 cents
2023-03-12 09:44:17.087441 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 146700; bid volumes: 44
2023-03-12 09:44:17.087598 [INFO   ] [AUTO] hedge order 82 filled for 10 lots at $146900 average price in cents
2023-03-12 09:44:17.184832 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 11400; bid prices: 146900; bid volumes: 4020
2023-03-12 09:44:17.184919 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 146900; ask volumes: 10; bid prices: 146700; bid volumes: 7
2023-03-12 09:44:17.438053 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 14400; bid prices: 146900; bid volumes: 2000
2023-03-12 09:44:17.438103 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 146800; ask volumes: 10; bid prices: 146700; bid volumes: 7
2023-03-12 09:44:17.704804 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 4400; bid prices: 146800; bid volumes: 11800
2023-03-12 09:44:17.704878 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 146800; ask volumes: 10; bid prices: 146700; bid volumes: 7
2023-03-12 09:44:17.705334 [INFO   ] [AUTO] order 85 filled for 7 lots at $146700 cents
2023-03-12 09:44:17.705500 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 146700; bid volumes: 7
